Open;Close;High;Low;Volume;Date
71.85;71.02;72.91;70.09;;12/09/22
72.27;71.46;75.43;71.1;;12/08/22
74.34;72.01;75.37;71.76;;12/07/22
77.19;74.25;77.87;73.41;;12/06/22
80.05;76.93;82.72;76.75;;12/05/22
81.23;79.98;82.21;79.64;;12/02/22
80.51;81.22;83.34;79.94;;12/01/22
78.89;80.55;81.38;78.4;;11/30/22
76.56;78.2;79.64;76.26;;11/29/22
76.31;77.24;77.83;73.58;;11/28/22
77.55;76.28;79.9;76.18;;11/25/22
81.21;77.94;81.95;76.81;;11/23/22
80.3;80.95;82.39;79.85;;11/22/22
80.2;80.04;80.49;75.28;;11/21/22
82.04;80.11;82.61;77.26;;11/18/22
84.65;81.64;85.57;81.4;;11/17/22
86.7;85.59;87.51;84.18;;11/16/22
85.21;86.92;88.67;84.07;;11/15/22
88.96;85.87;89.84;85.16;;11/14/22
86.37;88.96;90.1;86.19;;11/11/22
85.74;86.47;87.34;84.69;;11/10/22
88.7;85.83;89.22;85.5;;11/09/22
91.86;88.91;92.17;88.54;;11/08/22
91.61;91.79;93.75;90.42;;11/07/22
88.07;92.61;92.86;87.83;;11/04/22
89.49;88.17;89.67;87.6;;11/03/22
88.62;90;90.35;87.74;;11/02/22
86.45;88.37;89.44;85.91;;11/01/22
88.33;86.53;88.65;85.28;;10/31/22
88.61;87.9;88.76;87.09;;10/28/22
88.26;89.08;89.8;87.32;;10/27/22
84.98;87.91;88.41;84.15;;10/26/22
84.84;85.32;86.03;83.07;;10/25/22
85.15;84.58;85.94;82.62;;10/24/22
85.08;85.05;85.9;83.15;;10/21/22
0;84.51;87.14;84.17;;10/20/22
83.83;85.55;86.2;82.6;;10/19/22
85.69;82.82;86.5;82.08;;10/18/22
85.59;85.46;87.12;84.6;;10/17/22
89.11;85.61;89.75;85.21;;10/14/22
87.09;89.11;89.67;85.56;;10/13/22
88.59;87.27;90.07;86.27;;10/12/22
90.96;89.35;91.35;87.91;;10/11/22
93.42;91.13;93.65;90.54;;10/10/22
88.94;92.64;93.33;88;;10/07/22
88.04;88.45;89.19;87.04;;10/06/22
86.34;87.76;88.43;85.39;;10/05/22
83.28;86.52;86.97;83.23;;10/04/22
80.7;83.63;84.57;80.7;;10/03/22
81.88;79.49;82.55;79.15;;09/30/22
81.98;81.23;82.95;80.33;;09/29/22
78.1;82.15;82.34;76.56;;09/28/22
76.47;78.5;79.51;76.44;;09/27/22
79.23;76.71;80.31;76.25;;09/26/22
83.61;78.74;83.92;78.04;;09/23/22
83.13;83.49;85.99;82.4;;09/22/22
84.32;82.94;86.68;82.49;;09/21/22
0;83.94;86.14;83.01;;09/20/22
85.32;85.21;86.42;82.08;;09/19/22
85;85.11;86.59;84.27;;09/16/22
88.94;85.1;89.15;84.53;;09/15/22
87.63;88.48;90.19;86.19;;09/14/22
88.1;87.31;89.31;85.05;;09/13/22
86.14;87.78;89.09;85.15;;09/12/22
82.73;86.79;87.2;82.68;;09/09/22
81.75;83.54;84.26;81.18;;09/08/22
86.89;81.94;87.76;81.41;;09/07/22
86.99;86.88;90.38;86.18;;09/06/22
86.52;86.87;89.7;86.35;;09/02/22
88.9;86.61;89.64;85.98;;09/01/22
